######################################################################################################################
# 
# Limb Darkening Calculations v.1.0. 
# 
# Limb-darkening coefficients for linear (a), quadratic (u1,u2), three parameter (b1,b2,b3) 
# non-linear (c1,c2,c3,c4), logarithmic (l1,l2), exponential (e1,e2) and square-root laws (s1,s2).
# 
# Author:       Nestor Espinoza (nespino@astro.puc.cl) 
# 
# Contributors: Benjamin Rackham (brackham@email.arizona.com) 
#               Andres Jordan    (ajordan@astro.puc.cl) 
#               Ashley Villar    (vvillar@cfa.harvard.edu) 
# 
# DISCLAIMER: If you make use of this code for your research, please consider citing Espinoza & Jordan (2015)
# 
#---------------------------------------------------------------------------------------------------------------------------------------------
# Name	LD fit	RF	T_eff	log(g)	[M/H]	vturb	a       	u1      	u2      	b1      	b2      	b3      	c1      	 c2      	c3      	c4      	l1      	l2      	e1      	e2              	s1      	s2      
0	A100	KpHiRes	3500.0	4.5	0.0	2.0	0.624940564616	0.373725226379	0.336645470095	1.96153250959	-1.88309836638	0.675456751801	0.511174655194	0.450037324591	-0.112538344879	-0.0402094068986	0.756486463995	0.311113241884	0.594644359324	-0.00251606549931	0.134571405984	0.704498830714
1	A100	KpHiRes	3750.0	4.5	0.0	2.0	0.623701427925	0.386344264888	0.318074582117	1.96371602012	-1.93808972036	0.723583648396	0.540604583747	0.365199315467	-0.0655930038282	-0.0332856562424	0.748643594078	0.295495051868	0.594268768948	-0.00244434895694	0.156087593482	0.671806931149
2	A100	KpHiRes	4000.0	4.5	0.0	2.0	0.667177489803	0.508148559438	0.213109475708	1.76074686525	-1.70161378105	0.701450867688	0.560629824107	0.103017415849	0.240244531643	-0.0834546212557	0.752570001203	0.201957956725	0.645203912623	-0.00182488067098	0.342607442954	0.466300162776
3	A100	KpHiRes	4250.0	4.5	0.0	2.0	0.714951478759	0.640937778436	0.0991833425211	1.42590529541	-1.20788116774	0.550012278631	0.65382624861	-0.507397180682	1.05678239693	-0.365372150244	0.756519923797	0.0983116445036	0.701684015665	-0.00110184776721	0.550930101834	0.235644648979
4	A100	KpHiRes	4500.0	4.5	0.0	2.0	0.714410793993	0.650899998906	0.0851087422375	1.28711107429	-0.959536454961	0.430609924081	0.702111473019	-0.788966250781	1.47237305412	-0.552375863201	0.749847407784	0.0838095284612	0.702811613087	-0.000963298822958	0.574546521669	0.200938853059
5	A100	KpHiRes	4750.0	4.5	0.0	2.0	0.696640181991	0.609230613497	0.117134707948	1.27649320666	-0.891584662197	0.362062148535	0.660873141881	-0.677646267389	1.39748728691	-0.563188229262	0.743575433832	0.111004435927	0.683413905382	-0.0010984272763	0.516808602558	0.258358698147
6	A100	KpHiRes	5000.0	4.5	0.0	2.0	0.676425185451	0.559614929374	0.156533609155	1.32038585177	-0.921875393728	0.338943499721	0.637745700704	-0.565367962648	1.28708983974	-0.553927481288	0.737966726233	0.1455491076	0.660648305074	-0.00131025202732	0.444443038568	0.333281872134
7	A100	KpHiRes	5250.0	4.5	0.0	2.0	0.652735481819	0.506035503419	0.196587849843	1.39113703094	-1.01293402774	0.347830221149	0.610245553129	-0.413301443954	1.10077870956	-0.506539388991	0.729360696449	0.181222820675	0.634142309781	-0.00154414185659	0.366289232914	0.411528832643
8	A100	KpHiRes	5500.0	4.5	0.0	2.0	0.627716437951	0.454717504099	0.231830221122	1.46833615174	-1.13242962367	0.376812725372	0.561929714196	-0.193236949908	0.813931129437	-0.409912664731	0.717755900536	0.212948250264	0.606574583859	-0.00175580701154	0.292556815724	0.481513891739
9	A100	KpHiRes	5750.0	4.5	0.0	2.0	0.603449888056	0.408440800328	0.261325309481	1.55204126624	-1.2786098918	0.425884628954	0.496257433656	0.0846548966941	0.440281221983	-0.268896788046	0.704885472754	0.239900701934	0.580095371111	-0.00193956615265	0.226570417828	0.541451560364
10	A100	KpHiRes	6000.0	4.5	0.0	2.0	0.57966747839	0.365976977905	0.286359660583	1.658043236	-1.48122125114	0.50974708889	0.428805326945	0.390106376471	0.0040354242082	-0.090598523018	0.691080118972	0.263496984413	0.554209514713	-0.00211425501885	0.165539329442	0.594965632655
11	A100	KpHiRes	6250.0	4.5	0.0	2.0	0.558924843734	0.332538007756	0.303373605115	1.74699138351	-1.6631634551	0.590520977526	0.379158574494	0.625855282811	-0.349868660484	0.0596829209264	0.67729127298	0.279943074674	0.531905612788	-0.00224391649537	0.118426178158	0.632851372005
12	A100	KpHiRes	6500.0	4.5	0.0	2.0	0.541096357374	0.30741085212	0.313154313437	1.82735028287	-1.84009254704	0.675833722768	0.362608256766	0.755151908849	-0.584123229362	0.168166811673	0.66375305905	0.290089803464	0.51292259787	-0.00233979878309	0.0835834200179	0.657295271797
13	A100	KpHiRes	6750.0	4.5	0.0	2.0	0.527045009586	0.28719272549	0.321418212357	1.88870214815	-1.97402219228	0.739552516814	0.353235015518	0.844219563377	-0.750519050418	0.245008540297	0.653267760688	0.298523705264	0.497940516784	-0.0024170951282	0.0555044024989	0.677448408977
14	A100	KpHiRes	7000.0	4.5	0.0	2.0	0.515615566378	0.270024082913	0.32910912599	1.93884518865	-2.08095196712	0.78933277125	0.357089400516	0.88296555141	-0.844098359005	0.289392492555	0.645093520756	0.30622243893	0.485666437227	-0.00248724121928	0.0313640593984	0.695709781974
15	A100	KpHiRes	7250.0	4.5	0.0	2.0	0.505323279751	0.253288269543	0.337743885734	1.9901477602	-2.18549112412	0.836884302655	0.369479934286	0.897630484646	-0.905720318299	0.319596752107	0.638398485493	0.314730135019	0.474448628876	-0.00256410474916	0.00712330191244	0.715749136484
